timestamp,ecg,eda
0,513,-
1,523,-
2,529,-
3,527,-
4,518,-
5,516,-
6,523,-
7,524,-
8,524,-
9,521,-
10,518,-
11,517,-
12,519,-
13,520,-
14,517,-
15,516,-
16,508,-
17,511,-
18,518,-
19,522,-
20,527,-
21,525,-
22,523,-
23,523,-
24,519,-
25,519,-
26,523,-
27,521,-
28,520,-
29,515,-
30,502,-
31,517,-
32,519,-
33,508,-
34,504,-
35,509,-
36,517,-
37,520,-
38,518,-
39,514,-
40,508,-
41,511,-
42,515,-
43,517,-
44,514,-
45,510,-
46,513,-
47,515,-
48,519,-
49,525,-
50,529,-
51,536,-
52,536,-
53,534,-
54,531,-
55,527,-
56,520,-
57,514,-
58,512,-
59,510,-
60,511,-
61,515,-
62,517,-
63,515,-
64,506,-
65,508,-
66,505,-
67,492,-
68,497,-
69,521,-
70,533,-
71,537,-
72,537,-
73,539,-
74,534,-
75,529,-
76,531,-
77,535,-
78,532,-
79,532,-
80,535,-
81,526,-
82,524,-
83,521,-
84,521,-
85,520,-
86,513,-
87,506,-
88,506,-
89,508,-
90,507,-
91,518,-
92,522,-
93,524,-
94,521,-
95,515,-
96,510,-
97,506,-
98,509,-
99,515,-
100,516,-
101,524,-
102,531,-
103,527,-
104,521,-
105,532,-
106,526,-
107,524,-
108,515,-
109,512,-
110,527,-
111,528,-
112,526,-
113,523,-
114,519,-
115,515,-
116,512,-
117,508,-
118,511,-
119,517,-
120,515,-
121,507,-
122,511,-
123,520,-
124,519,-
125,519,-
126,516,-
127,510,-
128,510,-
129,515,-
130,512,-
131,516,-
132,517,-
133,516,-
134,519,-
135,520,-
136,523,-
137,527,-
138,529,-
139,527,-
140,529,-
141,530,-
142,526,-
143,525,-
144,515,-
145,506,-
146,487,-
147,484,-
148,503,-
149,516,-
150,520,-
151,516,-
152,525,-
153,535,-
154,528,-
155,526,-
156,522,-
157,517,-
158,516,-
159,518,-
160,519,-
161,517,-
162,516,-
163,516,-
164,516,-
165,514,-
166,515,-
167,518,-
168,517,-
169,515,-
170,515,-
171,516,-
172,515,-
173,515,-
174,512,-
175,511,-
176,505,-
177,496,-
178,491,-
179,499,-
180,519,-
181,521,-
182,519,-
183,528,-
184,527,-
185,519,-
186,517,-
187,515,-
188,510,-
189,505,-
190,505,-
191,518,-
192,530,-
193,529,-
194,521,-
195,519,-
196,515,-
197,516,-
198,524,-
199,519,-
200,516,-
201,512,-
202,506,-
203,514,-
204,516,-
205,520,-
206,523,-
207,523,-
208,522,-
209,521,-
210,521,-
211,519,-
212,519,-
213,521,-
214,524,-
215,523,-
216,520,-
217,517,-
218,511,-
219,504,-
220,501,-
221,506,-
222,511,-
223,514,-
224,511,-
225,508,-
226,506,-
227,505,-
228,502,-
229,497,-
230,504,-
231,512,-
232,528,-
233,541,-
234,553,-
235,542,-
236,506,-
237,515,-
238,522,-
239,541,-
240,551,-
241,548,-
242,538,-
243,528,-
244,520,-
245,525,-
246,527,-
247,530,-
248,535,-
249,531,-
250,534,-
251,533,-
252,529,-
253,522,-
254,519,-
255,518,-
256,518,-
257,519,-
258,519,-
259,517,-
260,515,-
261,516,-
262,515,-
263,515,-
264,516,-
265,518,-
266,516,-
267,513,-
268,510,-
269,509,-
270,512,-
271,515,-
272,519,-
273,519,-
274,515,-
275,513,-
276,513,-
277,515,-
278,519,-
279,523,-
280,523,-
281,520,-
282,519,-
283,517,-
284,514,-
285,514,-
286,514,-
287,512,-
288,511,-
289,510,-
290,510,-
291,506,-
292,509,-
293,508,-
294,504,-
295,501,-
296,503,-
297,511,-
298,516,-
299,515,-
300,510,-
301,513,-
302,521,-
303,527,-
304,526,-
305,526,-
306,529,-
307,522,-
308,518,-
309,521,-
310,523,-
311,524,-
312,534,-
313,538,-
314,534,-
315,528,-
316,519,-
317,513,-
318,509,-
319,512,-
320,519,-
321,515,-
322,503,-
323,513,-
324,523,-
325,515,-
326,513,-
327,515,-
328,520,-
329,520,-
330,518,-
331,513,-
332,510,-
333,512,-
334,513,-
335,515,-
336,517,-
337,520,-
338,521,-
339,515,-
340,510,-
341,510,-
342,510,-
343,509,-
344,505,-
345,502,-
346,500,-
347,506,-
348,513,-
349,515,-
350,513,-
351,511,-
352,510,-
353,509,-
354,501,-
355,496,-
356,499,-
357,507,-
358,515,-
359,514,-
360,517,-
361,505,-
362,492,-
363,495,-
364,493,-
365,496,-
366,497,-
367,497,-
368,489,-
369,494,-
370,499,-
371,502,-
372,505,-
373,507,-
374,508,-
375,509,-
376,504,-
377,507,-
378,517,-
379,525,-
380,528,-
381,525,-
382,523,-
383,523,-
384,520,-
385,521,-
386,518,-
387,519,-
388,523,-
389,529,-
390,533,-
391,534,-
392,540,-
393,545,-
394,540,-
395,535,-
396,533,-
397,532,-
398,531,-
399,529,-
400,532,-
401,537,-
402,538,-
403,539,-
404,538,-
405,536,-
406,538,-
407,547,-
408,553,-
409,555,-
410,543,-
411,532,-
412,521,-
413,526,-
414,536,-
415,534,-
416,529,-
417,535,-
418,541,-
419,540,-
420,544,-
421,547,-
422,546,-
423,525,-
424,534,-
425,547,-
426,550,-
427,552,-
428,551,-
429,548,-
430,545,-
431,546,-
432,554,-
433,563,-
434,566,-
435,568,-
436,570,-
437,572,-
438,576,-
439,568,-
440,563,-
441,559,-
442,551,-
443,539,-
444,524,-
445,513,-
446,504,-
447,483,-
448,464,-
449,448,-
450,442,-
451,427,-
452,404,-
453,383,-
454,364,-
455,346,-
456,329,-
457,307,-
458,297,-
459,285,-
460,278,-
461,273,-
462,270,-
463,271,-
464,278,-
465,281,-
466,283,-
467,290,-
468,308,-
469,329,-
470,351,-
471,368,-
472,390,-
473,403,-
474,420,-
475,445,-
476,478,-
477,511,-
478,534,-
479,556,-
480,569,-
481,575,-
482,565,-
483,571,-
484,571,-
485,563,-
486,550,-
487,558,-
488,562,-
489,563,-
490,572,-
491,576,-
492,581,-
493,580,-
494,579,-
495,582,-
496,587,-
497,591,-
498,590,-
499,589,-
500,588,-
501,586,-
502,586,-
503,582,-
504,580,-
505,576,-
